lat,lng,value
6.0,68.0,0
6.0,68.0625,0
6.0,68.125,0
6.0,68.1875,0
6.0,68.25,0
6.0,68.3125,0
6.0,68.375,0
6.0,68.4375,0
6.0,68.5,0
6.0,68.5625,0
6.0,68.625,0
6.0,68.6875,0
6.0,68.75,0
6.0,68.8125,0
6.0,68.875,0
6.0,68.9375,0
6.0,69.0,0
6.0,69.0625,0
6.0,69.125,0
6.0,69.1875,0
6.0,69.25,0
6.0,69.3125,0
6.0,69.375,0
6.0,69.4375,0
6.0,69.5,0
6.0,69.5625,0
6.0,69.625,0
6.0,69.6875,0
6.0,69.75,0
6.0,69.8125,0
6.0,69.875,0
6.0,69.9375,0
6.0,70.0,0
6.0,70.0625,0
6.0,70.125,0
6.0,70.1875,0
6.0,70.25,0
6.0,70.3125,0
6.0,70.375,0
6.0,70.4375,0
6.0,70.5,0
6.0,70.5625,0
6.0,70.625,0
6.0,70.6875,0
6.0,70.75,0
6.0,70.8125,0
6.0,70.875,0
6.0,70.9375,0
6.0,71.0,0
6.0,71.0625,0
6.0,71.125,0
6.0,71.1875,0
6.0,71.25,0
6.0,71.3125,0
6.0,71.375,0
6.0,71.4375,0
6.0,71.5,0
6.0,71.5625,0
6.0,71.625,0
6.0,71.6875,0
6.0,71.75,0
6.0,71.8125,0
6.0,71.875,0
6.0,71.9375,0
6.0,72.0,0
6.0,72.0625,0
6.0,72.125,0
6.0,72.1875,0
6.0,72.25,0
6.0,72.3125,0
6.0,72.375,0
6.0,72.4375,0
6.0,72.5,0
6.0,72.5625,0
6.0,72.625,0
6.0,72.6875,0
6.0,72.75,0
6.0,72.8125,0
6.0,72.875,0
6.0,72.9375,0
6.0,73.0,0
6.0,73.0625,0
6.0,73.125,0
6.0,73.1875,0
6.0,73.25,0
6.0,73.3125,0
6.0,73.375,0
6.0,73.4375,0
6.0,73.5,0
6.0,73.5625,0
6.0,73.625,0
6.0,73.6875,0
6.0,73.75,0
6.0,73.8125,0
6.0,73.875,0
6.0,73.9375,0
6.0,74.0,0
6.0,74.0625,0
6.0,74.125,0
6.0,74.1875,0
6.0,74.25,0
6.0,74.3125,0
6.0,74.375,0
6.0,74.4375,0
6.0,74.5,0
6.0,74.5625,0
6.0,74.625,0
6.0,74.6875,0
6.0,74.75,0
6.0,74.8125,0
6.0,74.875,0
6.0,74.9375,0
6.0,75.0,0
6.0,75.0625,0
6.0,75.125,0
6.0,75.1875,0
6.0,75.25,0
6.0,75.3125,0
6.0,75.375,0
6.0,75.4375,0
6.0,75.5,0
6.0,75.5625,0
6.0,75.625,0
6.0,75.6875,0
6.0,75.75,0
6.0,75.8125,0
6.0,75.875,0
6.0,75.9375,0
6.0,76.0,0
6.0,76.0625,0
6.0,76.125,0
6.0,76.1875,0
6.0,76.25,0
6.0,76.3125,0
6.0,76.375,0
6.0,76.4375,0
6.0,76.5,0
6.0,76.5625,0
6.0,76.625,0
6.0,76.6875,0
6.0,76.75,0
6.0,76.8125,0
6.0,76.875,0
6.0,76.9375,0
6.0,77.0,0
6.0,77.0625,0
6.0,77.125,0
6.0,77.1875,0
6.0,77.25,0
6.0,77.3125,0
6.0,77.375,0
6.0,77.4375,0
6.0,77.5,0
6.0,77.5625,0
6.0,77.625,0
6.0,77.6875,0
6.0,77.75,0
6.0,77.8125,0
6.0,77.875,0
6.0,77.9375,0
6.0,78.0,0
6.0,78.0625,0
6.0,78.125,0
6.0,78.1875,0
6.0,78.25,0
6.0,78.3125,0
6.0,78.375,0
6.0,78.4375,0
6.0,78.5,0
6.0,78.5625,0
6.0,78.625,0
6.0,78.6875,0
6.0,78.75,0
6.0,78.8125,0
6.0,78.875,0
6.0,78.9375,0
6.0,79.0,0
6.0,79.0625,0
6.0,79.125,0
6.0,79.1875,0
6.0,79.25,0
6.0,79.3125,0
6.0,79.375,0
6.0,79.4375,0
6.0,79.5,0
6.0,79.5625,0
6.0,79.625,0
6.0,79.6875,0
6.0,79.75,0
6.0,79.8125,0
6.0,79.875,0
6.0,79.9375,0
6.0,80.0,0
6.0,80.0625,0
6.0,80.125,0
6.0,80.1875,0
6.0,80.25,0
6.0,80.3125,0
6.0,80.375,0
6.0,80.4375,0
6.0,80.5,0
6.0,80.5625,0
6.0,80.625,0
6.0,80.6875,0
6.0,80.75,0
6.0,80.8125,0
6.0,80.875,0
6.0,80.9375,0
6.0,81.0,0
6.0,81.0625,0
6.0,81.125,0
6.0,81.1875,0
6.0,81.25,0
6.0,81.3125,0
6.0,81.375,0
6.0,81.4375,0
6.0,81.5,0
6.0,81.5625,0
6.0,81.625,0
6.0,81.6875,0
6.0,81.75,0
6.0,81.8125,0
6.0,81.875,0
6.0,81.9375,0
6.0,82.0,0
6.0,82.0625,0
6.0,82.125,0
6.0,82.1875,0
6.0,82.25,0
6.0,82.3125,0
6.0,82.375,0
6.0,82.4375,0
6.0,82.5,0
6.0,82.5625,0
6.0,82.625,0
6.0,82.6875,0
6.0,82.75,0
6.0,82.8125,0
6.0,82.875,0
6.0,82.9375,0
6.0,83.0,0
6.0,83.0625,0
6.0,83.125,0
6.0,83.1875,0
6.0,83.25,0
6.0,83.3125,0
6.0,83.375,0
6.0,83.4375,0
6.0,83.5,0
6.0,83.5625,0
6.0,83.625,0
6.0,83.6875,0
6.0,83.75,0
6.0,83.8125,0
6.0,83.875,0
6.0,83.9375,0
6.0,84.0,0
6.0,84.0625,0
6.0,84.125,0
6.0,84.1875,0
6.0,84.25,0
6.0,84.3125,0
6.0,84.375,0
6.0,84.4375,0
6.0,84.5,0
6.0,84.5625,0
6.0,84.625,0
6.0,84.6875,0
6.0,84.75,0
6.0,84.8125,0
6.0,84.875,0
6.0,84.9375,0
6.0,85.0,0
6.0,85.0625,0
6.0,85.125,0
6.0,85.1875,0
6.0,85.25,0
6.0,85.3125,0
6.0,85.375,0
6.0,85.4375,0
6.0,85.5,0
6.0,85.5625,0
6.0,85.625,0
6.0,85.6875,0
6.0,85.75,0
6.0,85.8125,0
6.0,85.875,0
6.0,85.9375,0
6.0,86.0,0
6.0,86.0625,0
6.0,86.125,0
6.0,86.1875,0
6.0,86.25,0
6.0,86.3125,0
6.0,86.375,0
6.0,86.4375,0
6.0,86.5,0
6.0,86.5625,0
6.0,86.625,0
6.0,86.6875,0
6.0,86.75,0
6.0,86.8125,0
6.0,86.875,0
6.0,86.9375,0
6.0,87.0,0
6.0,87.0625,0
6.0,87.125,0
6.0,87.1875,0
6.0,87.25,0
6.0,87.3125,0
6.0,87.375,0
6.0,87.4375,0
6.0,87.5,0
6.0,87.5625,0
6.0,87.625,0
6.0,87.6875,0
6.0,87.75,0
6.0,87.8125,0
6.0,87.875,0
6.0,87.9375,0
6.0,88.0,0
6.0,88.0625,0
6.0,88.125,0
6.0,88.1875,0
6.0,88.25,0
6.0,88.3125,0
6.0,88.375,0
6.0,88.4375,0
6.0,88.5,0
6.0,88.5625,0
6.0,88.625,0
6.0,88.6875,0
6.0,88.75,0
6.0,88.8125,0
6.0,88.875,0
6.0,88.9375,0
6.0,89.0,0
6.0,89.0625,0
6.0,89.125,0
6.0,89.1875,0
6.0,89.25,0
6.0,89.3125,0
6.0,89.375,0
6.0,89.4375,0
6.0,89.5,0
6.0,89.5625,0
6.0,89.625,0
6.0,89.6875,0
6.0,89.75,0
6.0,89.8125,0
6.0,89.875,0
6.0,89.9375,0
6.0,90.0,0
6.0,90.0625,0
6.0,90.125,0
6.0,90.1875,0
6.0,90.25,0
6.0,90.3125,0
6.0,90.375,0
6.0,90.4375,0
6.0,90.5,0
6.0,90.5625,0
6.0,90.625,0
6.0,90.6875,0
6.0,90.75,0
6.0,90.8125,0
6.0,90.875,0
6.0,90.9375,0
6.0,91.0,0
6.0,91.0625,0
6.0,91.125,0
6.0,91.1875,0
6.0,91.25,0
6.0,91.3125,0
6.0,91.375,0
6.0,91.4375,0
6.0,91.5,0
6.0,91.5625,0
6.0,91.625,0
6.0,91.6875,0
6.0,91.75,0
6.0,91.8125,0
6.0,91.875,0
6.0,91.9375,0
6.0,92.0,0
6.0,92.0625,0
6.0,92.125,0
6.0,92.1875,0
6.0,92.25,0
6.0,92.3125,0
6.0,92.375,0
6.0,92.4375,0
6.0,92.5,0
6.0,92.5625,0
6.0,92.625,0
6.0,92.6875,0
6.0,92.75,0
6.0,92.8125,0
6.0,92.875,0
6.0,92.9375,0
6.0,93.0,0
6.0,93.0625,0
6.0,93.125,0
6.0,93.1875,0
6.0,93.25,0
6.0,93.3125,0
6.0,93.375,0
6.0,93.4375,0
6.0,93.5,0
6.0,93.5625,0
6.0,93.625,0
6.0,93.6875,0
6.0,93.75,0
6.0,93.8125,0
6.0,93.875,0
6.0,93.9375,0
6.0,94.0,0
6.0,94.0625,0
6.0,94.125,0
6.0,94.1875,0
6.0,94.25,0
6.0,94.3125,0
6.0,94.375,0
6.0,94.4375,0
6.0,94.5,0
6.0,94.5625,0
6.0,94.625,0
6.0,94.6875,0
6.0,94.75,0
6.0,94.8125,0
6.0,94.875,0
6.0,94.9375,0
6.0,95.0,0
6.0,95.0625,0
6.0,95.125,0
6.0,95.1875,0
6.0,95.25,0
6.0,95.3125,0
6.0,95.375,0
6.0,95.4375,0
6.0,95.5,0
6.0,95.5625,0
6.0,95.625,0
6.0,95.6875,0
6.0,95.75,0
6.0,95.8125,0
6.0,95.875,0
6.0,95.9375,0
6.0,96.0,0
6.0,96.0625,0
6.0,96.125,0
6.0,96.1875,0
6.0,96.25,0
6.0,96.3125,0
6.0,96.375,0
6.0,96.4375,0
6.0,96.5,0
6.0,96.5625,0
6.0,96.625,0
6.0,96.6875,0
6.0,96.75,0
6.0,96.8125,0
6.0,96.875,0
6.0,96.9375,0
6.0,97.0,0
6.0,97.0625,0
6.0,97.125,0
6.0,97.1875,0
6.0,97.25,0
6.0,97.3125,0
6.0,97.375,0
6.0,97.4375,0
6.0,97.5,0
6.0,97.5625,0
6.0,97.625,0
6.0,97.6875,0
6.0,97.75,0
6.0,97.8125,0
6.0,97.875,0
6.0,97.9375,0
6.0625,68.0,0
6.0625,68.0625,0
6.0625,68.125,0
6.0625,68.1875,0
6.0625,68.25,0
6.0625,68.3125,0
6.0625,68.375,0
6.0625,68.4375,0
6.0625,68.5,0
6.0625,68.5625,0
6.0625,68.625,0
6.0625,68.6875,0
6.0625,68.75,0
6.0625,68.8125,0
6.0625,68.875,0
6.0625,68.9375,0
6.0625,69.0,0
6.0625,69.0625,0
6.0625,69.125,0
6.0625,69.1875,0
6.0625,69.25,0
6.0625,69.3125,0
6.0625,69.375,0
6.0625,69.4375,0
6.0625,69.5,0
6.0625,69.5625,0
6.0625,69.625,0
6.0625,69.6875,0
6.0625,69.75,0
6.0625,69.8125,0
6.0625,69.875,0
6.0625,69.9375,0
6.0625,70.0,0
6.0625,70.0625,0
6.0625,70.125,0
6.0625,70.1875,0
6.0625,70.25,0
6.0625,70.3125,0
6.0625,70.375,0
6.0625,70.4375,0
6.0625,70.5,0
6.0625,70.5625,0
6.0625,70.625,0
6.0625,70.6875,0
6.0625,70.75,0
6.0625,70.8125,0
6.0625,70.875,0
6.0625,70.9375,0
6.0625,71.0,0
6.0625,71.0625,0
6.0625,71.125,0
6.0625,71.1875,0
6.0625,71.25,0
6.0625,71.3125,0
6.0625,71.375,0
6.0625,71.4375,0
6.0625,71.5,0
6.0625,71.5625,0
6.0625,71.625,0
6.0625,71.6875,0
6.0625,71.75,0
6.0625,71.8125,0
6.0625,71.875,0
6.0625,71.9375,0
6.0625,72.0,0
6.0625,72.0625,0
6.0625,72.125,0
6.0625,72.1875,0
6.0625,72.25,0
6.0625,72.3125,0
6.0625,72.375,0
6.0625,72.4375,0
6.0625,72.5,0
6.0625,72.5625,0
6.0625,72.625,0
6.0625,72.6875,0
6.0625,72.75,0
6.0625,72.8125,0
6.0625,72.875,0
6.0625,72.9375,0
6.0625,73.0,0
6.0625,73.0625,0
6.0625,73.125,0
6.0625,73.1875,0
6.0625,73.25,0
6.0625,73.3125,0
6.0625,73.375,0
6.0625,73.4375,0
6.0625,73.5,0
6.0625,73.5625,0
6.0625,73.625,0
6.0625,73.6875,0
6.0625,73.75,0
6.0625,73.8125,0
6.0625,73.875,0
6.0625,73.9375,0
6.0625,74.0,0
6.0625,74.0625,0
6.0625,74.125,0
6.0625,74.1875,0
6.0625,74.25,0
6.0625,74.3125,0
6.0625,74.375,0
6.0625,74.4375,0
6.0625,74.5,0
6.0625,74.5625,0
6.0625,74.625,0
6.0625,74.6875,0
6.0625,74.75,0
6.0625,74.8125,0
6.0625,74.875,0
6.0625,74.9375,0
6.0625,75.0,0
6.0625,75.0625,0
6.0625,75.125,0
6.0625,75.1875,0
6.0625,75.25,0
6.0625,75.3125,0
6.0625,75.375,0
6.0625,75.4375,0
6.0625,75.5,0
6.0625,75.5625,0
6.0625,75.625,0
6.0625,75.6875,0
6.0625,75.75,0
6.0625,75.8125,0
6.0625,75.875,0
6.0625,75.9375,0
6.0625,76.0,0
6.0625,76.0625,0
6.0625,76.125,0
6.0625,76.1875,0
6.0625,76.25,0
6.0625,76.3125,0
6.0625,76.375,0
6.0625,76.4375,0
6.0625,76.5,0
6.0625,76.5625,0
6.0625,76.625,0
6.0625,76.6875,0
6.0625,76.75,0
6.0625,76.8125,0
6.0625,76.875,0
6.0625,76.9375,0
6.0625,77.0,0
6.0625,77.0625,0
6.0625,77.125,0
6.0625,77.1875,0
6.0625,77.25,0
6.0625,77.3125,0
6.0625,77.375,0
6.0625,77.4375,0
6.0625,77.5,0
6.0625,77.5625,0
6.0625,77.625,0
6.0625,77.6875,0
6.0625,77.75,0
6.0625,77.8125,0
6.0625,77.875,0
6.0625,77.9375,0
6.0625,78.0,0
6.0625,78.0625,0
6.0625,78.125,0
6.0625,78.1875,0
6.0625,78.25,0
6.0625,78.3125,0
6.0625,78.375,0
6.0625,78.4375,0
6.0625,78.5,0
6.0625,78.5625,0
6.0625,78.625,0
6.0625,78.6875,0
6.0625,78.75,0
6.0625,78.8125,0
6.0625,78.875,0
6.0625,78.9375,0
6.0625,79.0,0
6.0625,79.0625,0
6.0625,79.125,0
6.0625,79.1875,0
6.0625,79.25,0
6.0625,79.3125,0
6.0625,79.375,0
6.0625,79.4375,0
6.0625,79.5,0
6.0625,79.5625,0
6.0625,79.625,0
6.0625,79.6875,0
6.0625,79.75,0
6.0625,79.8125,0
6.0625,79.875,0
6.0625,79.9375,0
6.0625,80.0,0
6.0625,80.0625,0
6.0625,80.125,0
6.0625,80.1875,0
6.0625,80.25,0
6.0625,80.3125,0
6.0625,80.375,0
6.0625,80.4375,0
6.0625,80.5,0
6.0625,80.5625,0
6.0625,80.625,0
6.0625,80.6875,0
6.0625,80.75,0
6.0625,80.8125,0
6.0625,80.875,0
6.0625,80.9375,0
6.0625,81.0,0
6.0625,81.0625,0
6.0625,81.125,0
6.0625,81.1875,0
6.0625,81.25,0
6.0625,81.3125,0
6.0625,81.375,0
6.0625,81.4375,0
6.0625,81.5,0
6.0625,81.5625,0
6.0625,81.625,0
6.0625,81.6875,0
6.0625,81.75,0
6.0625,81.8125,0
6.0625,81.875,0
6.0625,81.9375,0
6.0625,82.0,0
6.0625,82.0625,0
6.0625,82.125,0
6.0625,82.1875,0
6.0625,82.25,0
6.0625,82.3125,0
6.0625,82.375,0
6.0625,82.4375,0
6.0625,82.5,0
6.0625,82.5625,0
6.0625,82.625,0
6.0625,82.6875,0
6.0625,82.75,0
6.0625,82.8125,0
6.0625,82.875,0
6.0625,82.9375,0
6.0625,83.0,0
6.0625,83.0625,0
6.0625,83.125,0
6.0625,83.1875,0
6.0625,83.25,0
6.0625,83.3125,0
6.0625,83.375,0
6.0625,83.4375,0
6.0625,83.5,0
6.0625,83.5625,0
6.0625,83.625,0
6.0625,83.6875,0
6.0625,83.75,0
6.0625,83.8125,0
6.0625,83.875,0
6.0625,83.9375,0
6.0625,84.0,0
6.0625,84.0625,0
6.0625,84.125,0
6.0625,84.1875,0
